Districts,Households,Total Population,Scheduled Castes,% SC Population,Scheduled Tribes,% ST Populaiton,Backward Castes,% BC Population,Others,Others %,Minorities Population,Minorities Population %
ADILABAD,202954,743983,112912,15,250461,34,270258,36,110352,15,108281,14.55423041
BHADRADRI,325055,1069332,159831,15,406584,38,363128,34,139789,13,79355,7.420988056
HYDERABAD,1049686,3979372,439097,11,80025,2,1410626,35,2049624,52,1845620,46.37968001
JAGTIAL ,317981,1019045,178760,18,31073,3,683220,67,125992,12,86394,8.477937677
JANGAON ,181878,625537,138994,22,70956,11,359099,57,56488,9,27502,4.396542491
JAYASHANKAR ,231133,723299,148025,20,137348,19,369325,51,68601,9,27244,3.766630398
JOGULAMBA ,144931,667086,142721,21,12660,2,435886,65,75819,11,63786,9.561885574
KAMAREDDY ,277355,996139,166675,17,98194,10,600972,60,130298,13,109994,11.04203329
KARIMNAGAR ,318562,1029078,212327,21,14892,1,611567,59,190292,18,101359,9.849496345
KHAMMAM ,466855,1427465,309928,22,210335,15,621612,44,285590,20,121863,8.537021923
KOMARAM BHEEM ,147606,539579,86829,16,159817,30,235205,44,57728,11,49304,9.137494232
MAHABUBABAD,251739,837365,122997,15,320532,38,330817,40,63019,8,33109,3.953950786
MAHABUBNAGAR,354405,1588973,261676,16,156325,10,961324,60,209648,13,180649,11.36891565
MANCHERIAL ,250787,820137,213652,26,75526,9,447559,55,83400,10,55949,6.821909023
MEDAK ,219492,789074,141474,18,81586,10,493996,63,72018,9,58820,7.454307201
MEDCHAL,768525,2802725,399054,14,79240,3,1262484,45,1061947,38,405405,14.46467277
NAGARKURNOOL ,220673,921623,207011,22,121321,13,477912,52,115379,13,57058,6.191034729
NALGONDA ,509502,1682883,321496,19,231991,14,887485,53,241911,14,112397,6.678836259
NIRMAL ,224483,751115,121522,16,99831,13,422029,56,107733,14,118776,15.81329091
NIZAMABAD ,463398,1614942,238255,15,123561,8,888288,55,364838,23,354854,21.97317303
PEDDAPALLI ,248005,785172,169023,22,18965,2,507805,65,89379,11,53528,6.817359763
RAJANNA ,177463,566897,113665,20,25715,5,356436,63,71081,13,27328,4.820628791
RANGAREDDY ,768920,2913767,449066,15,174509,6,1293320,44,996872,34,462990,15.88973998
SANGAREDDY ,425968,1569863,332913,21,105413,7,870944,55,260593,17,291411,18.56283
SIDDIPET ,310642,1070730,206622,19,32161,3,677810,63,154137,14,67341,6.289260598
SURYAPET ,358109,1125596,229043,20,150750,13,571743,51,174060,15,81102,7.205249486
VIKARABAD ,247692,971558,205077,21,120652,12,493724,51,152105,16,140614,14.47304227
WANAPARTHY ,134579,602522,106501,18,52642,9,367565,61,75814,13,37882,6.287239304
WARANGAL (R) ,233751,746710,138846,19,114829,15,428603,57,64432,9,31753,4.252387138
WARANGAL (U),330982,1120468,226137,20,36612,3,664146,59,193573,17,144354,12.88336659
YADADRI ,232518,774509,144455,19,49947,6,476121,61,103986,13,36175,4.670701051
